Date (WET);price_first_auction;price_second_auction;traded_volume_first_auction;traded_volume_second_auction;price_forecast_first_auction
;GBP/MWh;GBP/MWh;MW;MW;GBP/MWh
[01/01/2021 00:00];68;65.73;2923.7;5102.4;54.19
[01/01/2021 01:00];62.7;64.96;2825;4771.5;53.42
[01/01/2021 02:00];56;60.47;2611.4;4176.2;50.13
[01/01/2021 03:00];50.1;52.5;2669.3;3755.9;50.28
[01/01/2021 04:00];50;48.98;2741.4;4047.5;47.19
[01/01/2021 05:00];48;48.95;2791.1;4172.7;42.15
[01/01/2021 06:00];50;48.96;2817.8;3977.3;51.04
[01/01/2021 07:00];40;52.02;3938.3;9598.4;38.79
[01/01/2021 08:00];45.9;51.05;3854.2;8562.6;44.03
[01/01/2021 09:00];56.35;55.47;3610.7;7714.6;55.16
[01/01/2021 10:00];60.5;57;3839.2;7380.4;63.99
[01/01/2021 11:00];60;60.72;4150.9;7392.2;62.08
[01/01/2021 12:00];67.5;62.41;4351.5;8040.5;71.61
[01/01/2021 13:00];66;68.6;4272.1;8194.4;70.48
[01/01/2021 14:00];66;68.6;4260.7;8232.7;63.53
[01/01/2021 15:00];66.2;59.04;4269;8564.4;54.7
[01/01/2021 16:00];86.75;70.07;4626.5;9565.7;67.01
[01/01/2021 17:00];90;100.07;4496.2;10152;84.92
[01/01/2021 18:00];75.2;70.82;4298;9606;69.12
[01/01/2021 19:00];66.9;71.22;3365.1;8852.2;64.97
[01/01/2021 20:00];62.7;60.51;3259.7;7793.8;64.32
[01/01/2021 21:00];63;59.24;3235.5;6127.4;64.87
[01/01/2021 22:00];50;56.96;3099.7;5937.4;58.09
[01/01/2021 23:00];64.5;57.95;3281.8;3678.5;64.14
[02/01/2021 00:00];64;63.91;3260.2;3763;61.32
[02/01/2021 01:00];58;66.12;3265.2;3898.3;61.41
[02/01/2021 02:00];50;59.28;3327.1;3408.2;56.98
[02/01/2021 03:00];50;54.96;3668.6;3388.5;56.04
[02/01/2021 04:00];45.5;49.65;3900.3;3925.1;50.45
[02/01/2021 05:00];45.1;49.2;3832.5;3979;44.71
[02/01/2021 06:00];54.8;56.91;3402.6;3408.4;52.43
