Date (WET);forecast_system_price_low;forecast_system_price_high;system_price
;GBP/MWh;GBP/MWh;GBP/MWh
[01/01/2021 00:00];48.33;44.89;73.15
[01/01/2021 01:00];54.35;53.26;71.95
[01/01/2021 02:00];32.66;65.86;54.56
[01/01/2021 03:00];41.55;63.43;70.73
[01/01/2021 04:00];26.62;66.91;54.98
[01/01/2021 05:00];17.47;64.38;39
[01/01/2021 06:00];25.62;67.55;43.64
[01/01/2021 07:00];26.96;67.24;29.01
[01/01/2021 08:00];46.78;47.17;17.54
[01/01/2021 09:00];39.38;87.23;49.73
[01/01/2021 10:00];34.63;70.93;38
[01/01/2021 11:00];38.9;81.19;74
[01/01/2021 12:00];57.76;75.72;74
[01/01/2021 13:00];39.08;80.12;78.75
[01/01/2021 14:00];40.96;90.27;82.5
[01/01/2021 15:00];64.39;82.62;84.95
[01/01/2021 16:00];52.33;94.19;85.95
[01/01/2021 17:00];45.19;122.89;92.48
[01/01/2021 18:00];35.8;87.98;87
[01/01/2021 19:00];67.53;100.84;87
[01/01/2021 20:00];30.08;127.19;80.9
[01/01/2021 21:00];55.66;82.41;57.05
[01/01/2021 22:00];41.19;72.56;53.65
[01/01/2021 23:00];30.84;77.3;39.25
[02/01/2021 00:00];33.04;75.27;53.66
[02/01/2021 01:00];35.56;65.74;68
[02/01/2021 02:00];36.02;70.35;19.39
[02/01/2021 03:00];45.82;64.78;65.98
[02/01/2021 04:00];25.77;69.81;65.98
[02/01/2021 05:00];13.1;66.43;65.98
[02/01/2021 06:00];27.77;73.22;38.19
[02/01/2021 07:00];28.13;72.86;39.25
[02/01/2021 08:00];46.04;56.14;39.3
[02/01/2021 09:00];51.48;78.33;39.3
[02/01/2021 10:00];32.9;78.4;39.43
[02/01/2021 11:00];42.56;86.22;62.05
[02/01/2021 12:00];70.94;72.15;86.56
[02/01/2021 13:00];36.55;73.31;80
[02/01/2021 14:00];48.55;89.53;57.26
[02/01/2021 15:00];69.65;85.97;65.26
[02/01/2021 16:00];65.84;91.97;119.5
[02/01/2021 17:00];66.12;116.16;145
[02/01/2021 18:00];44.92;94.6;67.26
[02/01/2021 19:00];65.18;120.13;63.01
[02/01/2021 20:00];32.82;100.03;41.03
[02/01/2021 21:00];48.39;63.5;58
[02/01/2021 22:00];45.82;71.12;57.1
[02/01/2021 23:00];31.96;74.33;72.5
[03/01/2021 00:00];43.8;67.69;70.25
[03/01/2021 01:00];41.64;62.85;72.5
[03/01/2021 02:00];34.58;64.54;70.2
[03/01/2021 03:00];43.68;70.47;34
[03/01/2021 04:00];25.51;63.15;6
[03/01/2021 05:00];13.79;68.95;68.99
[03/01/2021 06:00];49.87;68.6;68.5
[03/01/2021 07:00];27.54;65.19;20.1
[03/01/2021 08:00];50.53;43.76;23
[03/01/2021 09:00];52.03;80.77;3
[03/01/2021 10:00];31.5;73.57;20.5
[03/01/2021 11:00];39.64;81.47;69.7
[03/01/2021 12:00];56.06;74.15;79
[03/01/2021 13:00];42.36;76.64;73.75
[03/01/2021 14:00];51.5;82.21;57.06
[03/01/2021 15:00];65.67;80.02;42.75
[03/01/2021 16:00];50.43;83.93;69.17
[03/01/2021 17:00];46.41;99.34;94.1
[03/01/2021 18:00];29.44;86.84;90.1
[03/01/2021 19:00];57.27;97.65;42.1
[03/01/2021 20:00];34.17;78.2;42.33
[03/01/2021 21:00];56.93;67.66;71.25
[03/01/2021 22:00];43.69;66.17;68.75
[03/01/2021 23:00];18.81;81.54;67
[04/01/2021 00:00];30.62;69.71;69.5
[04/01/2021 01:00];24.79;64.69;65
[04/01/2021 02:00];23.87;62.59;64.99
[04/01/2021 03:00];41.22;59.92;64.97
[04/01/2021 04:00];17.72;65.1;64.94
[04/01/2021 05:00];9.42;63.24;64.97
[04/01/2021 06:00];43.42;72.6;11.25
[04/01/2021 07:00];47.02;75.27;40.8
[04/01/2021 08:00];19.93;88.51;60.06
[04/01/2021 09:00];58.53;90.34;77.5
[04/01/2021 10:00];4.71;80.27;88.5
[04/01/2021 11:00];54.81;82.31;88.2
[04/01/2021 12:00];29.51;84.22;91.4
[04/01/2021 13:00];54.53;81.5;82.64
[04/01/2021 14:00];31.47;86.46;85.48
[04/01/2021 15:00];59.03;80.12;91.55
[04/01/2021 16:00];40.88;134.89;43.87
[04/01/2021 17:00];46.44;107.14;43.91
[04/01/2021 18:00];14.84;91.02;44.03
[04/01/2021 19:00];42.18;132.45;44.28
[04/01/2021 20:00];47.7;56.32;43.59
[04/01/2021 21:00];54.11;60.34;78
[04/01/2021 22:00];49.2;60.12;76.98
[04/01/2021 23:00];22.56;83.06;26.01
[05/01/2021 00:00];28.78;75.54;56
[05/01/2021 01:00];31.88;67.67;60.02
[05/01/2021 02:00];31.98;57.39;55.75
[05/01/2021 03:00];40.31;62.85;57.23
[05/01/2021 04:00];18.05;63.23;49.6
[05/01/2021 05:00];7.76;65.45;25.5
[05/01/2021 06:00];36.24;69.29;44.51
[05/01/2021 07:00];45.5;74.98;44.53
[05/01/2021 08:00];18.29;84.46;83
[05/01/2021 09:00];29.1;104.73;90.95
[05/01/2021 10:00];-13.92;76.22;91
[05/01/2021 11:00];70.4;86.13;79
[05/01/2021 12:00];23.34;86.04;96.45
[05/01/2021 13:00];51.32;81.27;83.8
[05/01/2021 14:00];25.17;82.87;62.5
[05/01/2021 15:00];63.07;85.14;57.36
[05/01/2021 16:00];33.87;139.71;72.01
[05/01/2021 17:00];70.98;136.79;162.26
[05/01/2021 18:00];-40.04;106.69;162.26
[05/01/2021 19:00];43.39;133.46;46.15
[05/01/2021 20:00];49.2;66.45;0
[05/01/2021 21:00];51.13;54.86;67.1
[05/01/2021 22:00];52.31;62.82;37.85
[05/01/2021 23:00];31.21;68.27;64.95
[06/01/2021 00:00];46.08;65.6;64.8
[06/01/2021 01:00];51.18;67.8;0
[06/01/2021 02:00];38.51;59.34;30.05
[06/01/2021 03:00];47.03;73.01;63.62
[06/01/2021 04:00];27.3;73.37;27.05
[06/01/2021 05:00];15.22;71.48;28.55
[06/01/2021 06:00];27.43;73.23;55.83
[06/01/2021 07:00];58.08;95.02;46.53
[06/01/2021 08:00];26.49;95.58;111.03
[06/01/2021 09:00];149.18;79.99;171
[06/01/2021 10:00];6.25;45.39;45.59
[06/01/2021 11:00];41.95;71.63;67
[06/01/2021 12:00];21.7;92.29;160
[06/01/2021 13:00];38.08;70.22;47.11
[06/01/2021 14:00];94.31;63.36;47.17
[06/01/2021 15:00];78.72;97.12;47.31
[06/01/2021 16:00];83.3;127.47;47.6
[06/01/2021 17:00];50.02;213.94;699.5
[06/01/2021 18:00];39.47;167.52;47.55
[06/01/2021 19:00];64.08;138.46;45.8
[06/01/2021 20:00];40.04;83.21;55.78
[06/01/2021 21:00];47.88;60.55;98.5
[06/01/2021 22:00];59.26;72.39;64.9
[06/01/2021 23:00];35.94;68.86;74
[07/01/2021 00:00];59.14;60.43;64.75
[07/01/2021 01:00];58.87;64.71;64.48
[07/01/2021 02:00];37.9;54.15;62.5
[07/01/2021 03:00];40.66;64.44;62.23
[07/01/2021 04:00];31.07;61.01;61.8
[07/01/2021 05:00];23.74;71.35;87.5
[07/01/2021 06:00];30.07;71.04;110.1
[07/01/2021 07:00];57.57;82.94;68.63
[07/01/2021 08:00];24.28;64.97;107.92
[07/01/2021 09:00];61.57;84.82;138.98
[07/01/2021 10:00];-8.96;96.2;144.95
[07/01/2021 11:00];59.04;92.42;96.63
[07/01/2021 12:00];16.67;104.72;154.98
[07/01/2021 13:00];61.21;86.8;96.65
[07/01/2021 14:00];75.71;62.37;144.95
[07/01/2021 15:00];75.5;88.29;272.5
[07/01/2021 16:00];85.16;95.03;772.5
[07/01/2021 17:00];53.4;194.66;1000
[07/01/2021 18:00];51.16;161.18;109.55
[07/01/2021 19:00];58.91;128;158.11
[07/01/2021 20:00];29.09;77.57;135
[07/01/2021 21:00];59.32;48.06;71.68
[07/01/2021 22:00];42.73;57.87;65
[07/01/2021 23:00];36.58;55.86;64
[08/01/2021 00:00];60.39;50.6;62
[08/01/2021 01:00];63.24;61.88;61.95
[08/01/2021 02:00];33.97;50.01;61.8
[08/01/2021 03:00];46.54;57.18;60.85
[08/01/2021 04:00];32.1;74.17;61.52
[08/01/2021 05:00];32.19;66.19;90
[08/01/2021 06:00];40.93;68.57;71.68
[08/01/2021 07:00];52.1;88.58;48.35
[08/01/2021 08:00];35.71;69.35;94.2
[08/01/2021 09:00];127.2;88.37;139.5
[08/01/2021 10:00];-13.4;-31.21;130
[08/01/2021 11:00];90.87;63.64;140
[08/01/2021 12:00];-26.54;146.03;140
[08/01/2021 13:00];71.98;84.27;138
[08/01/2021 14:00];40.04;49.22;48.6
[08/01/2021 15:00];49.1;88.66;49
[08/01/2021 16:00];57.97;78.34;50
[08/01/2021 17:00];68.08;173.64;1402.5
[08/01/2021 18:00];34.62;140.43;53.05
[08/01/2021 19:00];52.82;113.96;4000
[08/01/2021 20:00];34.54;82.23;69.99
[08/01/2021 21:00];58.01;67.43;169
[08/01/2021 22:00];53.88;60.11;86
[08/01/2021 23:00];39.33;61.7;77.9
[09/01/2021 00:00];76.4;56.26;77.5
[09/01/2021 01:00];87.82;64.85;78.95
[09/01/2021 02:00];41.73;44.62;85
[09/01/2021 03:00];35.69;73.28;80
[09/01/2021 04:00];30.1;80.72;59.5
[09/01/2021 05:00];43.65;84.76;55.75
[09/01/2021 06:00];40.96;88.14;67.25
[09/01/2021 07:00];59.87;84.47;52.22
[09/01/2021 08:00];15.1;104.97;44.78
[09/01/2021 09:00];-2.54;118.97;44.5
[09/01/2021 10:00];3.22;110.62;46.35
[09/01/2021 11:00];50.01;97.34;47.55
[09/01/2021 12:00];58.8;109.3;79.5
[09/01/2021 13:00];63.04;89.3;63.53
[09/01/2021 14:00];24.17;84.72;74.75
[09/01/2021 15:00];52.35;114.09;45.15
[09/01/2021 16:00];71.01;111.53;80.06
[09/01/2021 17:00];115.8;172.4;125.51
[09/01/2021 18:00];95.52;115.19;133.01
[09/01/2021 19:00];72.71;105.3;108.5
[09/01/2021 20:00];32.57;101.18;64.93
[09/01/2021 21:00];50.52;67.49;80.5
[09/01/2021 22:00];64.93;69.79;62.75
[09/01/2021 23:00];40.47;84.6;76.88
[10/01/2021 00:00];73.87;67.25;76.88
[10/01/2021 01:00];50.97;61.26;76.74
[10/01/2021 02:00];39.65;39.1;81.25
[10/01/2021 03:00];31.1;84.34;83.5
[10/01/2021 04:00];23.33;60.89;86.7
[10/01/2021 05:00];29.54;101.66;83.5
[10/01/2021 06:00];37.26;89.9;67.7
[10/01/2021 07:00];56.69;73.52;45.55
[10/01/2021 08:00];44.6;108.16;45.41
[10/01/2021 09:00];35.17;120.92;45.81
[10/01/2021 10:00];6.92;108;97.25
[10/01/2021 11:00];36.58;92.15;101.5
[10/01/2021 12:00];68.58;98.82;109
[10/01/2021 13:00];60.89;74.68;95.25
[10/01/2021 14:00];28.84;83;63.8
[10/01/2021 15:00];59.4;108.5;46.07
[10/01/2021 16:00];53.38;83.88;74.45
[10/01/2021 17:00];69.49;127.34;74
[10/01/2021 18:00];102.89;90.41;28.54
[10/01/2021 19:00];68.83;112.34;2.5
[10/01/2021 20:00];44.17;95.68;46.05
[10/01/2021 21:00];58.22;101.6;45.5
[10/01/2021 22:00];71.05;78.75;23.65
[10/01/2021 23:00];15.15;81.7;8.13
[11/01/2021 00:00];62.86;72.65;73.95
[11/01/2021 01:00];0.55;62.5;40.03
