Date (WET);demand_plus_system_margin;demand;within_day_availability;margin;within_day_margin;long_term_wind;long_term_solar;long_term_wind_over_demand;long_term_wind_over_margin;long_term_solar_over_demand;long_term_solar_over_margin;margin_over_demand;snsp_forecast;stack_price;within_day_potential_stack_price;previous_day_ahead_price;previous_continuous_half_hour_vwap;inertia_forecast
;MW;MW;MW;MW;MW;GBP/MWh;MW;%;%;%;%;%;%;GBP/MWh;GBP/MWh;GBP/MWh;GBP/MWh;GVA.s
[01/01/2021 00:00];56513.64;30182;40389.06;-26331.64;-15268.7;-3674.64;0;-12;-14;0;0;-87;29.95;67.79;68.88;65.02;59.69;214.67
[01/01/2021 01:00];56506.94;29269;40389.06;-27237.94;-16191;-3667.94;0;-13;-14;0;0;-93;31.05;67.79;68.45;62;51.86;205.47
[01/01/2021 02:00];56502.2;27245;40389.06;-29257.2;-18226.26;-3663.2;0;-14;-13;0;0;-108;32.8;67.73;67.79;54.16;46.29;191.12
[01/01/2021 03:00];56487.24;25545.5;40389.06;-30941.74;-19935.3;-3648.24;0;-15;-12;0;0;-121;34.95;67.61;67.73;51.94;54.22;176.23
[01/01/2021 04:00];56373.63;24180;40389.06;-32193.63;-21212.69;-3534.63;0;-15;-11;0;0;-134;36.7;66.48;67.67;49.17;57.26;163.59
[01/01/2021 05:00];56247.17;24396.5;40389.06;-31850.67;-20893.73;-3408.17;0;-14;-11;0;0;-131;35.9;66.67;67.67;50.07;56.57;166.91
[01/01/2021 06:00];56114.37;25267.5;40389.06;-30846.87;-19877.43;-3275.37;0;-13;-11;0;0;-122;34.6;67.59;67.79;54.59;60.09;172.7
[01/01/2021 07:00];56114.82;26175;40389.06;-29939.82;-18945.88;-3275.82;0;-13;-11;0;0;-115;33.2;67.67;67.79;50.07;49.27;182.07
[01/01/2021 08:00];56139.97;27364;40389.06;-28775.97;-17831.53;-3300.97;-72.5;-12;-12;0;0;-105;31.75;67.73;67.79;58.93;49.61;193.95
[01/01/2021 09:00];56203.18;29964;40389.06;-26239.18;-15620.74;-3364.18;-405;-12;-13;-2;-2;-88;30.65;67.79;68.76;60.08;73.78;211.02
