Time_from	Market_price	Load	Wind	Solar
2024-10-25 01:00:00	82.07	11112.75	3442.0	3.25
2024-10-25 01:15:00	82.07	11013.25	3353.75	3.25
2024-10-25 01:30:00	82.07	10909.0	3265.5	3.25
2024-10-25 01:45:00	82.07	10850.0	3218.5	3.25
2024-10-25 02:00:00	79.69	10766.5	3139.0	3.0
2024-10-25 02:15:00	79.69	10722.5	3038.0	2.75
2024-10-25 02:30:00	79.69	10716.5	3004.0	2.5
2024-10-25 02:45:00	79.69	10706.75	3031.25	2.5
2024-10-25 03:00:00	82.6	10651.75	3029.25	2.75
2024-10-25 03:15:00	82.6	10681.75	3015.75	2.5
2024-10-25 03:30:00	82.6	10762.0	2967.75	2.5
2024-10-25 03:45:00	82.6	10817.0	2925.5	2.75
2024-10-25 04:00:00	84.47	10944.75	2906.25	2.5
2024-10-25 04:15:00	84.47	10991.25	2879.5	2.5
2024-10-25 04:30:00	84.47	11064.75	2865.75	2.5
2024-10-25 04:45:00	84.47	11137.0	2818.25	2.75
2024-10-25 05:00:00	94.59	11368.0	2805.25	2.5
2024-10-25 05:15:00	94.59	11513.5	2796.75	2.5
2024-10-25 05:30:00	94.59	11744.0	2804.0	2.5
2024-10-25 05:45:00	94.59	12081.25	2814.0	2.5
2024-10-25 06:00:00	108.94	12815.0	2881.25	2.5
2024-10-25 06:15:00	108.94	13248.0	2895.75	2.5
2024-10-25 06:30:00	108.94	13606.75	2917.25	2.75
2024-10-25 06:45:00	108.94	14001.5	2952.0	2.75
2024-10-25 07:00:00	123.75	14400.5	2963.25	2.75
2024-10-25 07:15:00	123.75	14695.0	2985.25	3.0
2024-10-25 07:30:00	123.75	14945.5	2922.75	6.75
2024-10-25 07:45:00	123.75	15110.5	2873.5	11.75
2024-10-25 08:00:00	150.59	15248.0	2832.25	49.0
2024-10-25 08:15:00	150.59	15423.75	2846.5	199.75
2024-10-25 08:30:00	150.59	15495.0	2809.0	411.5
2024-10-25 08:45:00	150.59	15493.0	2730.25	660.75
2024-10-25 09:00:00	122.43	15429.25	2663.0	954.75
2024-10-25 09:15:00	122.43	15480.75	2550.0	1302.5
2024-10-25 09:30:00	122.43	15498.5	2438.25	1703.75
2024-10-25 09:45:00	122.43	15522.25	2307.5	2137.5
2024-10-25 10:00:00	108.15	15476.25	2096.75	2588.25
2024-10-25 10:15:00	108.15	15469.5	1875.0	3028.75
2024-10-25 10:30:00	108.15	15533.75	1658.0	3470.0
2024-10-25 10:45:00	108.15	15522.5	1443.75	3892.5
2024-10-25 11:00:00	93.9	15492.5	1274.75	4287.5
2024-10-25 11:15:00	93.9	15476.75	1163.75	4655.75
2024-10-25 11:30:00	93.9	15476.25	1055.5	5003.0
2024-10-25 11:45:00	93.9	15495.5	980.5	5277.0
2024-10-25 12:00:00	81.08	15422.75	933.75	5530.5
2024-10-25 12:15:00	81.08	15302.5	900.0	5748.5
2024-10-25 12:30:00	81.08	15254.75	876.5	5947.25
2024-10-25 12:45:00	81.08	15196.75	844.25	6105.5
2024-10-25 13:00:00	78.18	15096.5	806.75	6140.75
2024-10-25 13:15:00	78.18	15026.5	753.5	6160.5
2024-10-25 13:30:00	78.18	14880.5	702.0	6133.75
2024-10-25 13:45:00	78.18	14653.5	684.25	6059.5
2024-10-25 14:00:00	82.47	14524.0	664.25	5922.75
2024-10-25 14:15:00	82.47	14365.75	635.5	5746.0
2024-10-25 14:30:00	82.47	14195.5	615.25	5508.75
2024-10-25 14:45:00	82.47	14091.5	603.25	5237.0
2024-10-25 15:00:00	99.33	13939.0	602.5	4875.5
2024-10-25 15:15:00	99.33	13773.5	590.5	4502.25
2024-10-25 15:30:00	99.33	13677.5	590.75	4075.0
2024-10-25 15:45:00	99.33	13595.0	587.5	3599.25
2024-10-25 16:00:00	118.03	13642.5	601.25	3079.25
2024-10-25 16:15:00	118.03	13570.25	617.25	2549.25
2024-10-25 16:30:00	118.03	13591.5	622.0	2021.5
2024-10-25 16:45:00	118.03	13657.75	633.25	1492.0
2024-10-25 17:00:00	158.73	13784.75	669.5	1002.25
2024-10-25 17:15:00	158.73	13859.75	713.75	579.5
2024-10-25 17:30:00	158.73	14072.25	779.5	263.5
2024-10-25 17:45:00	158.73	14249.0	867.5	92.0
2024-10-25 18:00:00	227.32	14347.0	936.25	21.0
2024-10-25 18:15:00	227.32	14590.0	979.25	7.75
2024-10-25 18:30:00	227.32	14755.0	1050.5	7.5
2024-10-25 18:45:00	227.32	14806.0	1097.75	6.0
2024-10-25 19:00:00	184.85	14617.0	1127.75	11.25
2024-10-25 19:15:00	184.85	14476.0	1163.75	8.5
2024-10-25 19:30:00	184.85	14345.0	1189.75	7.5
2024-10-25 19:45:00	184.85	14177.5	1230.5	4.0
2024-10-25 20:00:00	123.86	13923.0	1266.75	7.75
2024-10-25 20:15:00	123.86	13666.75	1311.75	3.75
2024-10-25 20:30:00	123.86	13442.0	1333.5	1.5
2024-10-25 20:45:00	123.86	13219.25	1341.25	1.5
2024-10-25 21:00:00	116.29	13099.5	1350.25	1.5
2024-10-25 21:15:00	116.29	12811.25	1331.75	1.25
2024-10-25 21:30:00	116.29	12677.25	1319.0	1.25
2024-10-25 21:45:00	116.29	12462.25	1314.0	1.25
2024-10-25 22:00:00	113.96	12265.5	1284.75	1.25
2024-10-25 22:15:00	113.96	12030.25	1279.5	1.5
2024-10-25 22:30:00	113.96	11863.5	1254.75	1.75
2024-10-25 22:45:00	113.96	11577.75	1226.75	1.25
2024-10-25 23:00:00	107.4	11356.0	1194.0	1.25
2024-10-25 23:15:00	107.4	11122.25	1150.5	1.5
2024-10-25 23:30:00	107.4	10880.0	1121.0	1.25
2024-10-25 23:45:00	107.4	10655.0	1078.25	1.25
2024-10-26 00:00:00	115.29	10442.75	1026.0	1.5
2024-10-26 00:15:00	115.29	10276.25	981.0	1.25
2024-10-26 00:30:00	115.29	10157.0	934.75	1.25
2024-10-26 00:45:00	115.29	10099.75	898.25	1.25
